Bug ID,Product,Comp,Assignee,Status,Resolution,Summary,Opened
121695,gcc,tree-opt,pinskia@gcc.gnu.org,RESO,FIXE,"[16 Regression] RISC-V: ICE in ifcvt tree check: expected class 'type', have 'exceptional'",2025-08-27
121523,gcc,tree-opt,unassigned@gcc.gnu.org,RESO,FIXE,"[16 Regression] RISC-V: ICE in apply_scale, at profile-count.h:1187 since r16-3065-geee51f9a4b6",2025-08-12
120522,gcc,target,unassigned@gcc.gnu.org,NEW,---,[16 Regression] RISC-V: Miscompile at -O3 since r16-449-gd884e9c5c74,2025-06-03
121072,gcc,tree-opt,unassigned@gcc.gnu.org,NEW,---,[16 Regression] RISC-V/aarch64 SVE: ICE verify_gimple failed incompatible types in 'PHI' argument 0,2025-07-14
121592,gcc,target,rguenth@gcc.gnu.org,ASSI,---,[16 Regression] RISC-V: Miscompile at -O3 since r16-2788-gdf86ac52fcc,2025-08-18
113009,gcc,target,unassigned@gcc.gnu.org,RESO,FIXE,[14] RISC-V: gcc.c-torture/unsorted/dump-noaddr.c flakey tests,2023-12-13
121281,gcc,target,unassigned@gcc.gnu.org,UNCO,---,[15/16 Regression] RISC-V: Miscompile at -O3 since r15-7057-gd9d0eeea93d,2025-07-28
120688,gcc,target,unassigned@gcc.gnu.org,NEW,---,[15/16 Regression] Miscompile at -O3 since r15-579-ga9251ab3c91,2025-06-17
121073,gcc,target,rdapp@gcc.gnu.org,RESO,FIXE,[16 Regression] RISC-V: ICE during RTL pass: avlprop insn does not satisfy its constraints,2025-07-14
121126,gcc,target,rguenth@gcc.gnu.org,RESO,FIXE,[16 Regression] RISC-V: Miscompile at -O[23] since r16-2159-g3bf2aa834e1,2025-07-16
120297,gcc,target,rdapp.gcc@gmail.com,RESO,FIXE,[15/16 Regression] RISC-V: Miscompile at -O3,2025-05-15
121075,gcc,target,unassigned@gcc.gnu.org,NEW,---,[16 Regression] RISC-V: ICE during GIMPLE pass: vect segmentation fault with -flto,2025-07-14
120356,gcc,target,merzlyakovao@gcc.gnu.org,RESO,FIXE,[15 Regression] RISC-V: Miscompile at -O[23] since r15-6881-g7b815107f40,2025-05-19
120930,gcc,target,rdapp@gcc.gnu.org,NEW,---,[16 Regression] RISC-V: Miscompile at -O[23] with zvl256b -mrvv-vector-bits=zvl since r16-1645-g309dbcea2ca,2025-07-02
120242,gcc,rtl-opti,law@gcc.gnu.org,RESO,FIXE,[15 regression] RISC-V: Miscompile at -O[23] since r15-9239-g4d7a634f6d4,2025-05-12
120813,gcc,rtl-opti,unassigned@gcc.gnu.org,RESO,DUPL,[15/16 Regression] RISC-V: Miscompile at -O[23] since r15-9239,2025-06-24
120736,gcc,rtl-opti,unassigned@gcc.gnu.org,RESO,DUPL,[15/16 Regression] RISC-V: Miscompile at -O[23] since r15-5375-gbeec291225b,2025-06-20
120627,gcc,rtl-opti,law@gcc.gnu.org,RESO,DUPL,[15/16 regression] RISC-V: Miscompile at -O[23] since r15-2186-g9d8ef2711df,2025-06-10
120922,gcc,tree-opt,tnfchris@gcc.gnu.org,RESO,FIXE,[16 Regression] RISC-V: ICE during GIMPLE pass: vect in verify_range with -mrvv-max-lmul=m8,2025-07-01
116686,gcc,target,unassigned@gcc.gnu.org,RESO,WORK,[15/16 Regression] RISC-V: gcc.target/riscv/rvv/autovec/pr114734.c failing with zvl1024b lmul2,2024-09-11
120550,gcc,target,law@gcc.gnu.org,RESO,FIXE,[15 Regression] RISC-V: Miscompile at -O3 since r16-372-g064cac730f8,2025-06-04
118595,gcc,target,rdapp.gcc@gmail.com,RESO,FIXE,[15/16 regression] RISC-V: gfortran/c-interop test execution failures on RVV zvl > 128b since r15-3228-g771256bcb9d,2025-01-21
120651,gcc,target,rdapp.gcc@gmail.com,RESO,DUPL,[15/16 Regression] RISC-V: Miscompile at -O3 with -flto since r15-3228-g771256bcb9d,2025-06-13
119944,gcc,target,unassigned@gcc.gnu.org,RESO,DUPL,"[16] RISC-V: g++.dg/torture/pr119610.C ""terminate called after throwing an instance of 'int'",2025-04-25
113238,gcc,testsuit,unassigned@gcc.gnu.org,RESO,INVA,[14] RISC-V: gcc.dg vect-tsvc flakey test timeouts when under heavy workload,2024-01-04
113035,gcc,target,unassigned@gcc.gnu.org,RESO,WONT,RISC-V: regression testsuite errors -mtune=sifive-7-series,2023-12-15
112531,gcc,target,unassigned@gcc.gnu.org,RESO,WORK,[14] RISC-V: gcc.dg/unroll-8.c rtl-dump scan errors with --param=riscv-autovec-preference=scalable,2023-11-14
113249,gcc,target,unassigned@gcc.gnu.org,RESO,WONT,RISC-V: regression testsuite errors -mtune=generic-ooo,2024-01-06
120054,gcc,target,unassigned@gcc.gnu.org,RESO,FIXE,[16 regression] RISC-V: gcc.target/riscv/predef-19.c failing since r16-299-ga992164c289,2025-05-01
120652,gcc,target,unassigned@gcc.gnu.org,RESO,FIXE,"[16 Regression] RISC-V: ICE in require, at machmode.h:323 with rv64gcv_zvl256b",2025-06-13
120693,gcc,ipa,unassigned@gcc.gnu.org,RESO,DUPL,ICE: during GIMPLE pass: modref,2025-06-17
120042,gcc,target,pinskia@gcc.gnu.org,RESO,FIXE,[16 Regression] RISC-V: stage1 fails to build with error: ‘CDI_DOMINATORS’ was not declared in this scope in tree-vectorizer.h,2025-04-30
120357,gcc,tree-opt,rguenth@gcc.gnu.org,ASSI,---,"[14 Regression] ICE in vect ""error: definition in block 9 does not dominate use in block 3"" with early break",2025-05-19
116273,gcc,rtl-opti,unassigned@gcc.gnu.org,NEW,---,"[14/15/16 regression] RISC-V: gcc.dg/long_branch.c flakey timeout, insn scheduling is slow",2024-08-07
120143,gcc,tree-opt,rguenth@gcc.gnu.org,RESO,FIXE,[15 Regression] ICE with -fwhole-program on undefined extern var in verify_ssa since r15-7886-g2427793af1e545,2025-05-06
120137,gcc,target,law@gcc.gnu.org,RESO,FIXE,[16 regression] RISC-V: ICE during RTL pass: vect_permconst,2025-05-06
118950,gcc,tree-opt,unassigned@gcc.gnu.org,RESO,FIXE,[14 regression] RISC-V: rv64gcv runtime mismatch at -O3 since r14-4038-gb975c0dc3be,2025-02-20
119361,gcc,target,unassigned@gcc.gnu.org,UNCO,---,RISC-V: x264 satd_4x4 stack spilling with mtune=generic-ooo for vls code but not on vla code,2025-03-19
119942,gcc,target,unassigned@gcc.gnu.org,RESO,DUPL,[16 Regression] RISC-V: Segmentation fault in pr103953.exe,2025-04-25
119865,gcc,target,law@gcc.gnu.org,RESO,FIXE,[16 regression] RISC-V: ICE in g++.target/riscv/mv(c)-symbols[1-5].C,2025-04-18
118601,gcc,target,majin@gcc.gnu.org,RESO,FIXE,[15] RISC-V: unrecognizable insn ICE in xtheadvector/pr114194.c on 32bit targets,2025-01-22
119672,gcc,rtl-opti,jakub@gcc.gnu.org,RESO,FIXE,"[15 regression] RISC-V: ICE during RTL pass: cse1 in as_a, at machmode.h:391",2025-04-07
119598,gcc,target,unassigned@gcc.gnu.org,RESO,DUPL,[15 regression] RISC-V: pr119114.c -O3 -ftree-vectorize execution test since r15-9062-g70391e3958d,2025-04-02
119114,gcc,target,unassigned@gcc.gnu.org,RESO,FIXE,[14/15 regression] RISC-V: miscompile at -O3 since r14-4077-g86451305d8b,2025-03-04
119559,gcc,middle-e,burnus@gcc.gnu.org,RESO,FIXE,[15 regression] GOMP: ICE in modify_call_for_omp_dispatch,2025-03-31
113076,gcc,target,unassigned@gcc.gnu.org,RESO,FIXE,[14] RISC-V: gfortran.dg/dec_io_1.f90 runtime error after r14-4972-g8aa47713701,2023-12-19
119115,gcc,rtl-opti,unassigned@gcc.gnu.org,RESO,FIXE,[15 regression] RISC-V: miscompile at -O3 with zvl256b -fsigned-char -fwrapv since r15-1579-g792f97b44ff,2025-03-04
119228,gcc,target,unassigned@gcc.gnu.org,RESO,DUPL,[15 regression] RISC-V: ICE in c-c++-common/attr-nonstring-6/14.c,2025-03-11
118931,gcc,target,unassigned@gcc.gnu.org,RESO,FIXE,[15 Regression] RISC-V: rv64gcv miscompile at -O[23] since r15-3228-g771256bcb9d,2025-02-18
118840,gcc,target,unassigned@gcc.gnu.org,UNCO,---,RISC-V: current rv64gcv testsuite failures as of r15-7464-g30a3a557a54,2025-02-11
117991,gcc,target,matmal01@gcc.gnu.org,RESO,FIXE,[15 regression] RISC-V: g++/template/builtin-speculation-overloads[14].C assertion error since addition in r15-6042-g9ed094a817e,2024-12-11
118119,gcc,target,unassigned@gcc.gnu.org,RESO,FIXE,[15 regression] RISC-V: gcc.c-torture/execute/va-arg-24.c zvl256b failure,2024-12-19
118405,gcc,tree-opt,rguenth@gcc.gnu.org,RESO,FIXE,[15 regression] RISC-V: ICE in verify_gimple during GIMPLE pass vect,2025-01-10
118363,gcc,target,unassigned@gcc.gnu.org,RESO,FIXE,[15 regression] RISC-V: excess errors in c-c++-common/gomp/dispatch-11.c with zvls > 128b,2025-01-08
118036,gcc,target,rdapp@gcc.gnu.org,RESO,FIXE,[15 Regression] RISC-V: gcc.dg/vect/vect-alias-check-1[12].c abort,2024-12-13
117906,gcc,target,unassigned@gcc.gnu.org,RESO,FIXE,[15 regression] RISC-V: gfortran.dg/sizeof_6.f90 -O1 timeout since r15-5897-g31250baf814,2024-12-04
117970,gcc,c++,unassigned@gcc.gnu.org,RESO,FIXE,[15 regression] RISC-V: xtreme-header failed to read compiled module: Bad file data,2024-12-09
116261,gcc,fortran,pault@gcc.gnu.org,RESO,FIXE,[15 regression] gfortran.dg/sizeof_6.f90 -O1 timeout since r15-2739-g4cb07a38233,2024-08-06
116425,gcc,target,unassigned@gcc.gnu.org,UNCO,---,RISC-V missed optimization: vector lowering along lmul boundaries,2024-08-20
117771,gcc,target,pinskia@gcc.gnu.org,RESO,FIXE,[15 Regression] RISC-V: stage1 fails to build using gcc-9.4 since r15-5603-gb3f1b9e2aa0,2024-11-25
114175,gcc,target,unassigned@gcc.gnu.org,RESO,FIXE,[13/14] Execution test failures on gcc.dg/c23-stdarg-6.c on multiple targets,2024-02-29
117413,gcc,libbackt,unassigned@gcc.gnu.org,RESO,DUPL,[15 regression] RISC-V: stage2 build failure with __builtin_prefetch,2024-11-02
116959,gcc,target,unassigned@gcc.gnu.org,RESO,FIXE,[15 regression] RISC-V: more ICEs in compute_nregs_for_mode,2024-10-03
116822,gcc,target,unassigned@gcc.gnu.org,RESO,FIXE,"[15 regression] RISC-V: ICE in compute_nregs_for_mode, at config/riscv/riscv-vector-costs.cc",2024-09-23
117250,gcc,testsuit,unassigned@gcc.gnu.org,RESO,INVA,[15] RISC-V: gfortran.dg/unsigned_38.f90 Error: Operand of unary numeric operator '-' at (1) is UNSIGNED(4),2024-10-21
117140,gcc,tree-opt,tnfchris@gcc.gnu.org,RESO,FIXE,[15 regression] RISC-V: ICE in initialize_flags_in_bb for rv32gcv,2024-10-14
117177,gcc,c,unassigned@gcc.gnu.org,RESO,FIXE,[15 regression] RISC-V: Error when building glibc from source since r15-4377-gf9bac238840,2024-10-16
115387,gcc,tree-opt,unassigned@gcc.gnu.org,RESO,FIXE,[15 regression] ICE in iovsprintf.c since r15-1081-ge14afbe2d1c,2024-06-07
116820,gcc,tree-opt,unassigned@gcc.gnu.org,RESO,FIXE,[15 regression] RISC-V: ICE verify_ssa failed for c-c++-common/torture/pr101636.c since r15-3768-g4150bcd205e,2024-09-23
